"algorithm","mae","mse","rmse","r_squared"
"Random Forest",0.883597897949802,1.94159994229205,1.39341305516062,0.592845499584091
"XGBoost",0.952667553194098,2.26471504123051,1.50489702014141,0.524335609727024
